title,link,record_url,image_link,image_filename,date,tirage
Universal testing machine,https://cds.cern.ch/record/2781965?ln=en,https://cds.cern.ch/record/2781965?ln=en,https://cds.cern.ch/record/1858702/files/78-3-420_a.jpg?subformat=icon-180,78-3-420_a,Mar 1978,4
Album title to be added,https://cds.cern.ch/record/2781952?ln=en,https://cds.cern.ch/record/2781952?ln=en,https://cds.cern.ch/record/1867882/files/1867882-icon1440.jpg?subformat=icon-1440,1867882-icon1440,Feb 1975,1
Vacuum equipment in a hall,https://cds.cern.ch/record/2781951?ln=en,https://cds.cern.ch/record/2781951?ln=en,https://cds.cern.ch/record/1867883/files/75-2-128.jpg?subformat=icon-180,75-2-128,Feb 1975,1
Electrically controlled angle valves,https://cds.cern.ch/record/2781950?ln=en,https://cds.cern.ch/record/2781950?ln=en,https://cds.cern.ch/record/2383520/files/icon1440-1975-02_X_CERN_14157_0045.jpg?subformat=icon-1440,icon1440-1975-02_X_CERN_14157_0045,Feb 1975,2
Apparatus for orbital electrical arc welding under protective atmosphere (argon) from ESAB,https://cds.cern.ch/record/2781949?ln=en,https://cds.cern.ch/record/2781949?ln=en,https://cds.cern.ch/record/1867880/files/75-2-125.jpg?subformat=icon-180,75-2-125,Feb 1975,6
Album title to be added,https://cds.cern.ch/record/2781819?ln=en,https://cds.cern.ch/record/2781819?ln=en,https://cds.cern.ch/record/2383527/files/icon1440-1975-02_X_CERN_14157_0052.jpg?subformat=icon-1440,icon1440-1975-02_X_CERN_14157_0052,Feb 1975,3
Vacuum control racks at the ISR,https://cds.cern.ch/record/2781700?ln=en,https://cds.cern.ch/record/2781700?ln=en,https://cds.cern.ch/record/1805502/files/71-3-221.jpg?subformat=icon-180,71-3-221,Mar 1971,2
"Water cooling towers and water treatment station, Building 176",https://cds.cern.ch/record/2781410?ln=en,https://cds.cern.ch/record/2781410?ln=en,https://cds.cern.ch/record/1790358/files/72-6-075.jpg?subformat=icon-180,72-6-075,Jun 1972,8
Album title to be added,https://cds.cern.ch/record/2781403?ln=en,https://cds.cern.ch/record/2781403?ln=en,https://cds.cern.ch/record/2381782/files/icon1440-1974-01_X_CERN_14139_0066.jpg?subformat=icon-1440,icon1440-1974-01_X_CERN_14139_0066,Jan 1974,3
Rotary capacitor,https://cds.cern.ch/record/2781342?ln=en,https://cds.cern.ch/record/2781342?ln=en,,,Oct 1971,0
Damaged component,https://cds.cern.ch/record/2781339?ln=en,https://cds.cern.ch/record/2781339?ln=en,https://cds.cern.ch/record/1796185/files/71-11-138.jpg?subformat=icon-180,71-11-138,Nov 1971,3
"Work inside the muon storage ring, for the new g-2 experiment",https://cds.cern.ch/record/2781278?ln=en,https://cds.cern.ch/record/2781278?ln=en,https://cds.cern.ch/record/1868402/files/75-3-158.jpg?subformat=icon-180,75-3-158,8 Apr 1975,4
Electronic unit,https://cds.cern.ch/record/2781149?ln=en,https://cds.cern.ch/record/2781149?ln=en,https://cds.cern.ch/record/1806427/files/72-2-394.jpg?subformat=icon-180,72-2-394,Feb 1972,1
"Geometry of the ion source for the synchro-cyclotron, SC2",https://cds.cern.ch/record/2781026?ln=en,https://cds.cern.ch/record/2781026?ln=en,https://cds.cern.ch/record/1761022/files/72-8-139.jpg?subformat=icon-180,72-8-139,24 Aug 1972,3
Construction works for the g-2 experiment,https://cds.cern.ch/record/2781003?ln=en,https://cds.cern.ch/record/2781003?ln=en,https://cds.cern.ch/record/1790114/files/72-6-281.jpg?subformat=icon-180,72-6-281,15 Jun 1972,3
BEBC,https://cds.cern.ch/record/2780905?ln=en,https://cds.cern.ch/record/2780905?ln=en,https://cds.cern.ch/record/1795104/files/71-9-314.jpg?subformat=icon-180,71-9-314,Sep 1971,16
Album title to be added,https://cds.cern.ch/record/2780626?ln=en,https://cds.cern.ch/record/2780626?ln=en,https://cds.cern.ch/record/2383543/files/icon640-1975-02_X_CERN_14157_0068.jpg?subformat=icon-640,icon640-1975-02_X_CERN_14157_0068,Feb 1975,4
Installation of a flange on a vacuum beam pipe,https://cds.cern.ch/record/2780625?ln=en,https://cds.cern.ch/record/2780625?ln=en,https://cds.cern.ch/record/2383562/files/icon180-1975-02_X_CERN_14157_0087.jpg?subformat=icon-180,icon180-1975-02_X_CERN_14157_0087,Feb 1975,2
Transparent chamber,https://cds.cern.ch/record/2780624?ln=en,https://cds.cern.ch/record/2780624?ln=en,https://cds.cern.ch/record/1867680/files/75-2-303.jpg?subformat=icon-180,75-2-303,Feb 1975,3
Corrugated vacuum chamber,https://cds.cern.ch/record/2780622?ln=en,https://cds.cern.ch/record/2780622?ln=en,https://cds.cern.ch/record/2383545/files/icon640-1975-02_X_CERN_14157_0070.jpg?subformat=icon-640,icon640-1975-02_X_CERN_14157_0070,Feb 1975,2
Concrete ring for the 400 ton g-2 magnet during construction,https://cds.cern.ch/record/2780619?ln=en,https://cds.cern.ch/record/2780619?ln=en,https://cds.cern.ch/record/1790357/files/72-6-074.jpg?subformat=icon-180,72-6-074,Jun 1972,1
Electronic unit produced by Kinetic Systems,https://cds.cern.ch/record/2780590?ln=en,https://cds.cern.ch/record/2780590?ln=en,https://cds.cern.ch/record/1867677/files/75-2-153.jpg?subformat=icon-180,75-2-153,5 Feb 1975,1
The heating plant on the CERN Prevessin  site,https://cds.cern.ch/record/2780532?ln=en,https://cds.cern.ch/record/2780532?ln=en,https://cds.cern.ch/record/1766503/files/73-4-259.jpg?subformat=icon-180,73-4-259,Apr 1973,2
Album title to be added,https://cds.cern.ch/record/2780524?ln=en,https://cds.cern.ch/record/2780524?ln=en,https://cds.cern.ch/record/2383337/files/icon640-1975-01_X_CERN_14155_0024.jpg?subformat=icon-640,icon640-1975-01_X_CERN_14155_0024,Jan 1975,2
Album title to be added,https://cds.cern.ch/record/2780523?ln=en,https://cds.cern.ch/record/2780523?ln=en,https://cds.cern.ch/record/2383405/files/icon1440-1975-01_X_CERN_14155_0092.jpg?subformat=icon-1440,icon1440-1975-01_X_CERN_14155_0092,Jan 1975,2
Irradiated material,https://cds.cern.ch/record/2780521?ln=en,https://cds.cern.ch/record/2780521?ln=en,https://cds.cern.ch/record/2383447/files/icon1440-1975-01_X_CERN_14155_0134.jpg?subformat=icon-1440,icon1440-1975-01_X_CERN_14155_0134,Jan 1975,1
Works in a hall,https://cds.cern.ch/record/2780456?ln=en,https://cds.cern.ch/record/2780456?ln=en,https://cds.cern.ch/record/2383242/files/icon640-1974-11_X_CERN_14153_0132.jpg?subformat=icon-640,icon640-1974-11_X_CERN_14153_0132,Nov 1974,4
Album title to be added,https://cds.cern.ch/record/2780416?ln=en,https://cds.cern.ch/record/2780416?ln=en,https://cds.cern.ch/record/2383086/files/icon180-1974-10_X_CERN_14151_0065.jpg?subformat=icon-180,icon180-1974-10_X_CERN_14151_0065,Oct 1974,1
A man working at a terminal,https://cds.cern.ch/record/2780415?ln=en,https://cds.cern.ch/record/2780415?ln=en,https://cds.cern.ch/record/2383085/files/icon180-1974-10_X_CERN_14151_0064.jpg?subformat=icon-180,icon180-1974-10_X_CERN_14151_0064,Oct 1974,1
Pulse forming network,https://cds.cern.ch/record/2780414?ln=en,https://cds.cern.ch/record/2780414?ln=en,https://cds.cern.ch/record/2383079/files/icon640-1974-10_X_CERN_14151_0058.jpg?subformat=icon-640,icon640-1974-10_X_CERN_14151_0058,Oct 1974,2
